,Unnamed: 0,id,fl_matriz,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_empresa_anos,idade_emp_cat,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,dt_situacao,fl_st_especial,fl_email,fl_telefone,fl_rm,nm_divisao,nm_segmento,fl_spa,fl_antt,fl_veiculo,vl_total_tancagem,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,fl_optante_simples,qt_art,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,vl_total_tancagem_grupo,vl_total_veiculos_antt_grupo,vl_potenc_cons_oleo_gas,fl_optante_simei,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,nu_meses_rescencia,de_nivel_atividade,de_indicador_telefone,fl_simples_irregular,vl_frota,empsetorcensitariofaixarendapopulacao,nm_meso_regiao,nm_micro_regiao,fl_passivel_iss,qt_socios,qt_socios_pf,qt_socios_pj,idade_media_socios,idade_maxima_socios,idade_minima_socios,qt_socios_st_regular,qt_socios_st_suspensa,qt_socios_masculino,qt_socios_feminino,qt_socios_pep,qt_alteracao_socio_total,qt_alteracao_socio_90d,qt_alteracao_socio_180d,qt_alteracao_socio_365d,qt_socios_pj_ativos,qt_socios_pj_nulos,qt_socios_pj_baixados,qt_socios_pj_suspensos,qt_socios_pj_inaptos,vl_idade_media_socios_pj,vl_idade_maxima_socios_pj,vl_idade_minima_socios_pj,qt_coligados,qt_socios_coligados,qt_coligados_matriz,qt_coligados_ativo,qt_coligados_baixada,qt_coligados_inapta,qt_coligados_suspensa,qt_coligados_nula,idade_media_coligadas,idade_maxima_coligadas,idade_minima_coligadas,coligada_mais_nova_ativa,coligada_mais_antiga_ativa,idade_media_coligadas_ativas,coligada_mais_nova_baixada,coligada_mais_antiga_baixada,idade_media_coligadas_baixadas,qt_coligados_sa,qt_coligados_me,qt_coligados_mei,qt_coligados_ltda,qt_coligados_epp,qt_coligados_norte,qt_coligados_sul,qt_coligados_nordeste,qt_coligados_centro,qt_coligados_sudeste,qt_coligados_exterior,qt_ufs_coligados,qt_regioes_coligados,qt_ramos_coligados,qt_coligados_industria,qt_coligados_agropecuaria,qt_coligados_comercio,qt_coligados_serviço,qt_coligados_ccivil,qt_funcionarios_coligados,qt_funcionarios_coligados_gp,media_funcionarios_coligados_gp,max_funcionarios_coligados_gp,min_funcionarios_coligados_gp,vl_folha_coligados,media_vl_folha_coligados,max_vl_folha_coligados,min_vl_folha_coligados,vl_folha_coligados_gp,media_vl_folha_coligados_gp,max_vl_folha_coligados_gp,min_vl_folha_coligados_gp,faturamento_est_coligados,media_faturamento_est_coligados,max_faturamento_est_coligados,min_faturamento_est_coligados,faturamento_est_coligados_gp,media_faturamento_est_coligados_gp,max_faturamento_est_coligados_gp,min_faturamento_est_coligados_gp,total_filiais_coligados,media_filiais_coligados,max_filiais_coligados,min_filiais_coligados,qt_coligados_atividade_alto,qt_coligados_atividade_medio,qt_coligados_atividade_baixo,qt_coligados_atividade_mt_baixo,qt_coligados_atividade_inativo,qt_coligadas,sum_faturamento_estimado_coligadas,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_ex_funcionarios,qt_funcionarios_grupo,percent_func_genero_masc,percent_func_genero_fem,idade_ate_18,idade_de_19_a_23,idade_de_24_a_28,idade_de_29_a_33,idade_de_34_a_38,idade_de_39_a_43,idade_de_44_a_48,idade_de_49_a_53,idade_de_54_a_58,idade_acima_de_58,grau_instrucao_macro_analfabeto,grau_instrucao_macro_escolaridade_fundamental,grau_instrucao_macro_escolaridade_media,grau_instrucao_macro_escolaridade_superior,grau_instrucao_macro_desconhecido,total,meses_ultima_contratacaco,qt_admitidos_12meses,qt_desligados_12meses,qt_desligados,qt_admitidos,media_meses_servicos_all,max_meses_servicos_all,min_meses_servicos_all,media_meses_servicos,max_meses_servicos,min_meses_servicos,qt_funcionarios,qt_funcionarios_12meses,qt_funcionarios_24meses,tx_crescimento_12meses,tx_crescimento_24meses,tx_rotatividade,qt_filiais
1646,1646,09e95c1a84049001d086470a8f320a19b076f955a89122ff8360ac2e4d6eca5d,True,AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL,AC,ADMINISTRACAO PUBLICA,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,11.243835616438355,10 a 15,False,False,False,False,False,2007-08-03,False,True,True,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,4.0,0.0,False,,0.0,4.0,,,,False,AC,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,46132.0,2791.15,VALE DO ACRE,RIO BRANCO,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 300.000.000,01 A R$ 500.000.000,00","DE R$ 300.000.000,01 A R$ 500.000.000,00",327487200.0,327487200.0,451.0,1361.0,81.78,18.22,,,23.0,411.0,508.0,282.0,103.0,22.0,10.0,2.0,,2.0,523.0,836.0,,1361.0,25.53333333333333,0.0,0.0,451.0,1812.0,84.96782688766119,357.06666666666666,-6.5,99.96100906196409,357.06666666666666,25.53333333333333,1361.0,1361.0,1383.0,0.0,-1.590744757772955,0.0,0
2696,2696,dc9d155f5bcd3172031e2ec9431786e8871ff4b0ff4728bb62194ca0842cce3e,True,MUNICIPIO,RN,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,43.789041095890404,> 20,False,False,False,False,False,2004-12-11,False,False,False,SIM,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,20.0,16.0,False,8.0,16.0,20.0,,,,False,RN,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,1309391.0,1007.87,AGRESTE POTIGUAR,AGRESTE POTIGUAR,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 100.000.000,01 A R$ 300.000.000,00","DE R$ 100.000.000,01 A R$ 300.000.000,00",176802910.0,176802910.0,1359.0,991.0,42.89,57.11,,11.0,59.0,104.0,157.0,129.0,163.0,113.0,132.0,123.0,,54.0,414.0,523.0,,991.0,23.2,0.0,0.0,1361.0,2352.0,80.75670921985822,5014.966666666666,-9.233333333333333,149.1730911537171,526.1333333333333,23.2,991.0,991.0,1306.0,0.0,-24.119448698315466,0.0,0
3681,3681,16843c9ffb920170477118933798510d8d5f00f5c56c1221773356355bded321,True,SOCIEDADE SIMPLES LIMITADA,PI,ENTIDADES EMPRESARIAIS,SERVICOS DE EDUCACAO,SERVIÇO,16.389041095890413,15 a 20,False,False,False,False,False,2005-09-24,False,False,True,NAO,EDUCACAO,EDUCACAO,False,False,True,,,1.0,1.0,False,1.0,1.0,1.0,,,,False,PI,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,60101.0,688.31,NORTE PIAUIENSE,BAIXO PARNAIBA PIAUIENSE,True,2.0,2.0,0.0,70.0,70.0,70.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",27818640.0,27818640.0,172.0,119.0,52.1,47.9,,1.0,10.0,27.0,30.0,20.0,15.0,11.0,3.0,2.0,,19.0,9.0,91.0,,119.0,4.866666666666666,21.0,7.0,172.0,291.0,42.166782006920464,149.03333333333333,0.0,65.94201680672269,149.03333333333333,4.866666666666666,119.0,104.0,113.0,14.423076923076913,5.3097345132743445,6.25,0
4564,4564,ff045934d90aab184dd15e66daf3b3c97193bda5449298784b664681610609a0,True,MUNICIPIO,AM,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,39.671232876712324,> 20,False,False,False,False,False,2005-09-24,False,False,False,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,False,,,,,False,11.0,0.0,0.0,,,,False,AM,VERDE,ACIMA DE 1 ANO,23.0,ALTA,,False,,1397.47,SUDOESTE AMAZONENSE,ALTO SOLIMOES,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 100.000.000,01 A R$ 300.000.000,00","DE R$ 100.000.000,01 A R$ 300.000.000,00",221518800.0,221518800.0,141.0,1824.0,48.03,51.97,,16.0,90.0,213.0,352.0,382.0,264.0,199.0,165.0,143.0,,8.0,22.0,1794.0,,1824.0,28.3,0.0,0.0,142.0,1971.0,140.4499408083878,555.7666666666668,0.9666666666666668,144.01301257517744,555.7666666666668,28.3,1829.0,1829.0,1875.0,0.0,-2.4533333333333296,0.0,1
6066,6066,a0ce528caab2c62497a548d0ebd9e935143ef81ed7dbf074dcd7e0c7dd50ae11,True,SOCIEDADE EMPRESARIA LIMITADA,RN,ENTIDADES EMPRESARIAIS,PRODUTOS DE AGROPECUARIA,AGROPECUARIA,20.268493150684925,> 20,False,False,False,False,False,2005-11-03,False,False,False,NAO,AGRICULTURA PECUARIA E SERVICOS RELACIONADOS,AGRICULTURA PECUARIA PRODUCAO FLORESTAL PESCA E AQUICULTURA,False,True,True,,,12.0,3.0,False,,3.0,12.0,,,6.0,False,RN,VERDE,ACIMA DE 1 ANO,23.0,ALTA,,False,488926.0,707.2,OESTE POTIGUAR,MOSSORO,True,4.0,4.0,0.0,48.66666666666666,70.0,36.0,3.0,,3.0,,,,,,,,,,,,,,,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,243.6,372.06666666666666,172.4,172.4,372.06666666666666,243.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,123.0,123.0,61.5,65.0,58.0,5831611.125,2915805.5625,4059460.8,1772150.4,5831611.125,2915805.5625,4059460.8,1772150.4,14789028.0,4929676.0,10148652.0,210000.0,16899028.0,5633009.333333332,12258652.0,210000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14789028.0,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",28127736.0,28127736.0,435.0,175.0,94.86,5.14,3.0,21.0,19.0,26.0,23.0,31.0,26.0,14.0,11.0,1.0,14.0,153.0,5.0,3.0,,175.0,2.933333333333333,110.0,63.0,437.0,614.0,11.000868621064065,179.76666666666668,-0.5666666666666667,14.610734463276833,134.83333333333334,2.933333333333333,177.0,130.0,120.0,36.15384615384615,47.50000000000001,41.04234527687297,0
6345,6345,77ed856930ed9c2b5348eca951d152b5655c98af3bb44616674eaaa17846c7c7,True,SOCIEDADE EMPRESARIA LIMITADA,AC,ENTIDADES EMPRESARIAIS,SERVICOS ADMINISTRATIVOS,SERVIÇO,20.030136986301372,> 20,False,False,False,False,False,2005-09-24,False,True,True,NAO,SERVICOS DE ESCRITORIO DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,False,True,True,,,2.0,3.0,False,2.0,3.0,4.0,,,6.0,False,AC,VERDE,ACIMA DE 1 ANO,48.0,ALTA,BOA,False,141536.0,2508.11,VALE DO ACRE,RIO BRANCO,True,2.0,2.0,0.0,46.5,61.0,32.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,92.1,92.1,92.1,92.1,92.1,92.1,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,930000.0,930000.0,930000.0,930000.0,1140000.0,1140000.0,1140000.0,1140000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,930000.0,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",19679112.0,19679112.0,261.0,135.0,50.37,49.63,3.0,22.0,32.0,29.0,27.0,15.0,3.0,3.0,1.0,,,3.0,128.0,4.0,,135.0,22.7,0.0,0.0,261.0,396.0,17.072138047138044,48.73333333333333,-0.5,39.17160493827162,48.73333333333333,23.466666666666665,135.0,135.0,189.0,0.0,-28.57142857142857,0.0,7
6619,6619,099927213e8cf60291e8241bc78a1d92da8fbb2826ae30b45cad02dcc2ea19ba,True,CONDOMINIO EDILICIO,RN,ENTIDADES SEM FINS LUCRATIVOS,SERVICOS ADMINISTRATIVOS,SERVIÇO,18.906849315068488,15 a 20,False,False,False,False,False,1999-12-06,False,True,False,SIM,SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,False,False,False,,,,,False,15.0,0.0,0.0,,,,False,RN,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,,1185.57,LESTE POTIGUAR,NATAL,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",18700308.0,18700308.0,407.0,106.0,72.64,27.36,,9.0,15.0,18.0,24.0,22.0,4.0,8.0,3.0,3.0,,4.0,77.0,25.0,,106.0,3.933333333333333,11.0,24.0,408.0,514.0,78.72107652399477,5027.166666666667,-0.5333333333333333,93.833962264151,322.2,3.933333333333333,106.0,119.0,199.0,-10.924369747899156,-46.73366834170854,21.33333333333333,0
6664,6664,d85ce0e92df9ddc051b211f1a5e3d9f223d7efd4c992459acf257316ad43609c,True,SOCIEDADE EMPRESARIA LIMITADA,RO,ENTIDADES EMPRESARIAIS,COMERCIO POR ATACADO,COMERCIO,21.947945205479456,> 20,False,False,False,False,False,2004-12-24,False,True,True,NAO,COMERCIO POR ATACADO EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,True,True,,,13.0,3.0,False,,3.0,13.0,,,6.0,False,RO,VERDE,ACIMA DE 1 ANO,24.0,ALTA,BOA,False,672056.0,1374.23,,,True,4.0,4.0,0.0,44.0,58.0,30.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,110.93333333333334,110.93333333333334,110.93333333333334,110.93333333333334,110.93333333333334,110.93333333333334,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,210000.0,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",10261987.0,13538405.0,118.0,57.0,64.29,35.71,,5.0,5.0,12.0,12.0,3.0,,1.0,2.0,2.0,,4.0,21.0,17.0,,42.0,3.933333333333333,7.0,14.0,118.0,161.0,39.84037267080746,212.9333333333333,-0.5666666666666667,78.92403100775192,212.9333333333333,3.933333333333333,43.0,52.0,58.0,-17.307692307692317,-25.86206896551724,30.10752688172043,5
6895,6895,ccbfe46d5e42b751ffe2a742680e853f50ac12e9399c2ecc0538d68f5c1ed6b2,True,SOCIEDADE EMPRESARIA LIMITADA,RO,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,19.610958904109584,15 a 20,False,False,False,False,False,2004-04-24,False,False,False,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,True,,,11.0,5.0,False,,5.0,11.0,,,,False,RO,VERDE,ACIMA DE 1 ANO,26.0,ALTA,BOA,False,217142.0,,,,False,3.0,3.0,0.0,41.66666666666666,45.0,39.0,3.0,,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.66666666666666,45.66666666666666,45.66666666666666,45.66666666666666,45.66666666666666,45.66666666666666,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,210000.0,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",26067096.0,26277096.0,258.0,94.0,76.6,23.4,5.0,16.0,28.0,16.0,11.0,13.0,1.0,2.0,2.0,,,14.0,64.0,16.0,,94.0,2.1666666666666665,28.0,20.0,258.0,352.0,24.691642924976268,170.3,-0.43333333333333335,48.91843971631207,170.3,2.1666666666666665,94.0,87.0,99.0,8.045977011494255,-5.05050505050505,22.222222222222218,1
7429,7429,3aafa3a1f12f483740a52956af100223333d0e3c79bf2ce341896dd554e72293,True,MUNICIPIO,PI,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,43.854794520547955,> 20,False,False,False,False,False,2005-10-14,False,False,False,SIM,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,1.0,2.0,False,,2.0,1.0,,,,False,PI,AZUL,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,87223.0,353.66,CENTRO NORTE PIAUIENSE,VALENCA DO PIAUI,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",24418584.0,24418584.0,25.0,151.0,26.49,73.51,,,,8.0,18.0,29.0,22.0,31.0,29.0,14.0,,35.0,53.0,63.0,,151.0,31.33333333333333,0.0,0.0,25.0,176.0,316.5032196969695,5014.966666666666,8.733333333333333,189.0203090507725,506.9666666666666,31.33333333333333,151.0,151.0,151.0,0.0,0.0,0.0,0
